TOTAL NUM:,192/300,
SPREAD TIME,16,
BETA,0.5,
TIME,NODE#,LAYER#
0,7,2
TOTAL:,1,
1,7,0
1,7,1
1,19,2
1,51,2
TOTAL:,3,
2,0,0
2,13,0
2,60,0
2,51,1
2,61,1
2,5,2
2,11,2
TOTAL:,7,
3,6,0
3,14,0
3,76,0
3,13,1
3,22,2
3,60,2
3,96,2
TOTAL:,7,
4,5,0
4,20,0
4,24,0
4,51,0
4,96,1
4,6,1
4,14,1
4,9,2
4,31,2
4,35,2
4,69,2
TOTAL:,11,
5,9,0
5,35,0
5,4,0
5,47,0
5,30,0
5,46,0
5,63,0
5,35,1
5,69,1
5,98,1
5,24,1
5,2,1
5,70,1
5,12,1
5,18,1
5,42,1
5,37,2
5,71,2
5,89,2
5,94,2
TOTAL:,19,
6,37,0
6,89,0
6,8,0
6,57,0
6,64,0
6,2,0
6,38,0
6,49,0
6,18,0
6,37,1
6,71,1
6,9,1
6,94,1
6,30,1
6,67,1
6,74,1
6,46,1
6,4,1
6,47,1
6,36,1
6,84,1
6,21,1
6,18,2
6,63,2
6,70,2
6,30,2
6,2,2
6,12,2
TOTAL:,24,
7,67,0
7,70,0
7,71,0
7,12,0
7,84,0
7,3,0
7,11,0
7,22,0
7,36,0
7,94,0
7,21,0
7,43,0
7,63,1
7,31,1
7,49,1
7,8,1
7,57,1
7,41,1
7,79,1
7,82,1
7,20,2
7,52,2
7,56,2
7,8,2
7,57,2
7,74,2
7,67,2
7,46,2
7,21,2
TOTAL:,25,
8,52,0
8,56,0
8,25,0
8,74,0
8,82,0
8,93,0
8,10,0
8,27,0
8,41,0
8,61,0
8,20,1
8,53,1
8,64,1
8,66,1
8,54,1
8,85,1
8,3,1
8,10,1
8,81,1
8,39,2
8,49,2
8,50,2
8,59,2
8,64,2
8,85,2
8,79,2
8,82,2
8,3,2
TOTAL:,23,
9,16,0
9,53,0
9,33,0
9,91,0
9,25,1
9,56,1
9,50,1
9,62,1
9,93,1
9,10,2
9,41,2
9,27,2
9,4,2
9,81,2
TOTAL:,14,
10,31,0
10,39,0
10,50,0
10,62,0
10,59,1
10,29,1
10,65,1
10,97,1
10,16,2
10,13,2
10,62,2
10,91,2
TOTAL:,11,
11,59,0
11,83,0
11,40,0
11,55,1
11,39,1
11,0,2
11,6,2
11,33,2
11,38,2
11,48,2
11,15,2
11,29,2
TOTAL:,12,
12,55,0
12,72,0
12,15,0
12,38,1
12,40,1
12,0,1
12,33,1
12,48,1
12,83,2
12,47,2
12,88,2
12,54,2
12,44,2
TOTAL:,13,
13,72,1
13,83,1
13,98,2
TOTAL:,3,
14,28,1
14,72,2
TOTAL:,2,
15,28,2
TOTAL:,1,
TOTAL:,0,
TOTAL NUM:,188/300,
SPREAD TIME,12,
BETA,0.5,
TIME,NODE#,LAYER#
0,7,2
TOTAL:,1,
1,7,0
1,1,2
1,12,2
1,17,2
1,51,2
TOTAL:,5,
2,1,0
2,12,0
2,51,0
2,0,0
2,2,0
2,5,0
2,93,0
2,17,1
2,51,1
2,7,1
2,8,2
2,20,2
2,24,2
2,10,2
2,65,2
2,43,2
TOTAL:,15,
3,8,0
3,20,0
3,24,0
3,10,0
3,11,0
3,43,0
3,9,0
3,14,0
3,28,0
3,35,0
3,98,0
3,24,1
3,1,1
3,10,1
3,0,1
3,0,2
3,2,2
3,6,2
3,15,2
3,40,2
3,59,2
3,85,2
3,14,2
3,21,2
3,23,2
3,28,2
3,44,2
3,84,2
TOTAL:,23,
4,6,0
4,15,0
4,40,0
4,17,0
4,19,0
4,63,0
4,53,0
4,84,0
4,29,0
4,79,0
4,64,0
4,15,1
4,40,1
4,85,1
4,8,1
4,21,1
4,28,1
4,88,1
4,98,1
4,86,1
4,35,1
4,43,1
4,4,1
4,9,2
4,11,2
4,13,2
4,50,2
4,57,2
4,91,2
4,26,2
4,58,2
4,66,2
4,47,2
4,78,2
4,88,2
4,75,2
4,39,2
TOTAL:,34,
5,57,0
5,88,0
5,4,0
5,21,0
5,23,0
5,32,0
5,97,0
5,85,0
5,67,0
5,11,1
5,50,1
5,57,1
5,47,1
5,6,1
5,75,1
5,25,1
5,90,1
5,5,1
5,23,1
5,22,1
5,16,2
5,19,2
5,25,2
5,49,2
5,82,2
5,63,2
TOTAL:,23,
6,16,0
6,25,0
6,49,0
6,82,0
6,47,0
6,39,0
6,95,0
6,90,0
6,22,0
6,37,0
6,70,0
6,19,1
6,49,1
6,27,1
6,82,1
6,58,1
6,78,1
6,97,1
6,91,1
6,95,1
6,45,1
6,67,1
6,68,2
6,73,2
6,52,2
6,90,2
6,55,2
6,67,2
TOTAL:,23,
7,73,0
7,52,0
7,86,0
7,45,0
7,56,0
7,78,0
7,68,1
7,52,1
7,37,1
7,48,1
7,55,1
7,39,1
7,64,1
7,2,1
7,93,1
7,66,1
7,96,1
7,70,1
7,56,2
7,95,2
7,45,2
7,70,2
TOTAL:,18,
8,13,0
8,71,0
8,48,0
8,66,0
8,96,0
8,73,1
8,69,1
8,56,1
8,59,1
8,62,1
8,86,2
8,96,2
8,60,2
TOTAL:,12,
9,59,0
9,60,0
9,3,1
9,83,1
9,60,1
9,48,2
9,62,2
TOTAL:,6,
10,3,0
10,83,0
10,76,1
TOTAL:,3,
11,3,2
11,76,2
TOTAL:,2,
TOTAL:,0,
