TOTAL NUM:,141/300,
SPREAD TIME,15,
TIME,NODE#,LAYER#
0,7,2
TOTAL:,1,
1,9,2
1,20,2
TOTAL:,2,
2,20,1
2,5,2
2,6,2
2,10,2
2,11,2
2,24,2
2,48,2
TOTAL:,7,
3,5,0
3,24,0
3,6,1
3,10,1
3,24,1
3,56,1
3,19,2
3,41,2
3,90,2
3,92,2
3,17,2
3,21,2
3,33,2
TOTAL:,12,
4,90,0
4,9,0
4,16,0
4,50,0
4,69,0
4,98,0
4,17,0
4,22,0
4,41,1
4,90,1
4,92,1
4,33,1
4,30,2
4,16,2
4,77,2
4,56,2
TOTAL:,14,
5,56,0
5,3,0
5,32,0
5,6,0
5,33,0
5,30,1
5,38,1
5,46,1
5,98,1
5,31,1
5,22,1
5,32,2
5,38,2
5,22,2
5,25,2
5,27,2
5,34,2
5,98,2
TOTAL:,14,
6,38,0
6,25,0
6,27,0
6,34,0
6,46,0
6,31,0
6,40,0
6,77,0
6,58,0
6,29,1
6,27,1
6,34,1
6,52,1
6,62,1
6,55,2
6,54,2
6,3,2
TOTAL:,15,
7,0,0
7,2,0
7,30,0
7,88,0
7,97,0
7,55,1
7,54,1
7,21,1
7,23,1
7,35,1
7,94,1
7,49,1
7,77,1
7,66,1
7,46,2
7,40,2
TOTAL:,16,
8,48,0
8,21,0
8,64,0
8,35,0
8,49,0
8,88,1
8,37,1
8,44,1
8,67,1
8,74,1
8,66,2
8,23,2
TOTAL:,12,
9,85,0
9,14,0
9,23,0
9,37,0
9,20,0
9,48,1
9,99,1
9,63,1
9,62,2
9,44,2
9,67,2
TOTAL:,11,
10,63,0
10,99,0
10,92,0
10,67,0
10,44,0
10,85,1
10,50,1
10,93,1
10,1,1
10,96,1
10,14,2
10,63,2
TOTAL:,11,
11,70,0
11,97,1
11,95,1
11,0,2
11,37,2
11,50,2
TOTAL:,6,
12,0,1
12,2,1
12,28,1
12,60,2
TOTAL:,4,
13,28,0
13,87,1
13,72,1
TOTAL:,3,
14,87,0
14,40,1
14,87,2
TOTAL:,2,
TOTAL:,0,
