TOTAL NUM:,159/300,
SPREAD TIME,12,
TIME,NODE#,LAYER#
0,8,2
TOTAL:,1,
1,8,0
1,1,2
1,2,2
1,80,2
1,87,2
TOTAL:,5,
2,1,0
2,9,0
2,16,0
2,22,0
2,37,0
2,1,1
2,2,1
2,87,1
2,7,2
2,97,2
2,9,2
2,38,2
2,66,2
TOTAL:,11,
3,5,0
3,2,0
3,48,0
3,30,0
3,7,1
3,97,1
3,88,1
3,9,1
3,66,1
3,0,1
3,4,1
3,22,1
3,0,2
3,6,2
3,12,2
3,14,2
3,16,2
3,32,2
3,58,2
3,47,2
3,46,2
3,30,2
3,62,2
TOTAL:,21,
4,0,0
4,32,0
4,58,0
4,7,0
4,47,0
4,97,0
4,11,0
4,50,0
4,69,0
4,62,0
4,34,0
4,51,0
4,6,1
4,5,1
4,76,1
4,45,1
4,30,1
4,67,1
4,26,1
4,10,2
4,11,2
4,13,2
4,50,2
4,74,2
4,25,2
4,35,2
4,88,2
4,64,2
4,5,2
4,85,2
TOTAL:,27,
5,13,0
5,74,0
5,6,0
5,45,0
5,29,0
5,49,0
5,20,0
5,96,0
5,80,0
5,10,1
5,11,1
5,25,1
5,8,1
5,24,1
5,75,1
5,51,1
5,17,2
5,22,2
5,73,2
5,21,2
5,44,2
5,51,2
5,61,2
5,45,2
5,67,2
5,69,2
5,34,2
TOTAL:,25,
6,21,0
6,61,0
6,12,0
6,18,0
6,28,0
6,81,0
6,35,0
6,17,1
6,13,1
6,20,1
6,40,1
6,36,1
6,96,1
6,80,1
6,24,2
6,33,2
6,36,2
6,4,2
6,78,2
6,81,2
TOTAL:,18,
7,24,0
7,36,0
7,17,0
7,4,0
7,26,0
7,84,0
7,93,0
7,40,0
7,23,1
7,35,1
7,38,1
7,19,2
7,60,2
7,28,2
TOTAL:,14,
8,19,0
8,60,0
8,89,0
8,91,0
8,38,0
8,60,1
8,37,1
8,33,1
8,93,2
8,23,2
8,84,2
TOTAL:,10,
9,23,0
9,25,0
9,3,0
9,19,1
9,31,1
9,95,1
9,37,2
TOTAL:,7,
10,10,0
10,75,0
10,31,0
10,3,1
10,43,1
10,91,1
10,3,2
TOTAL:,6,
11,77,0
TOTAL:,1,
TOTAL:,0,
